1	L_ 1 / B_ {#a#}	a
2	L_ 1 / B_ {#a#} / M_ {#--aH#}	aH
3	L_ 1 / B_ {#a#} / M_ {%--<ab>ind.</ab>%}	a
4	L_ 2 / B_ {#afRin#}	afRin
5	L_ 3 / B_ {#aMS#}	aMS
6	L_ 4 / B_ {#aMSaH#}	aMSaH
7	L_ 4 / B_ {#aMSaH#} / S_ {#--aMSaH#}	aMSAMSaH
8	L_ 4 / B_ {#aMSaH#} / S_ {#--aMSi#}	aMSAMSi
9	L_ 4 / B_ {#aMSaH#} / S_ {#--avatAraH#} {#--taraRaM#}	aMSAvatAraH
10	L_ 4 / B_ {#aMSaH#} / S_ {#--BAj#}, {#--hara, --hArin#}	aMSaBAj,aMSahArin,aMSahara
11	L_ 4 / B_ {#aMSaH#} / S_ {#--vivartin#}	aMSavivartin
12	L_ 4 / B_ {#aMSaH#} / S_ {#--savarRanaM#}	aMSasavarRanaM
13	L_ 4 / B_ {#aMSaH#} / S_ {#--svaraH#}	aMSasvaraH
14	L_ 5 / B_ {#aMSakaH#}	aMSakaH
15	L_ 5 / B_ {#aMSakaH#} / M_ {#--kaM#}	aMSakaM
16	L_ 6 / B_ {#aMSala#}	aMSala
17	L_ 7 / B_ {#aMSanaM#}	aMSanaM
18	L_ 8 / B_ {#aMSayitf#}	aMSayitf
19	L_ 9 / B_ {#aMSin#}	aMSin
20	L_ 10 / B_ {#aMSya#}	aMSya
21	L_ 11 / B_ {#aMSuH#}	aMSuH
22	L_ 11 / B_ {#aMSuH#} / S_ {#--jAlaM#}	aMSujAlaM
23	L_ 11 / B_ {#aMSuH#} / S_ {#--DaraH#}, {#--patiH --Bft, --bARaH--Bartf#}	aMSuBartf,aMSuBft,aMSuDaraH,aMSubARaH,aMSupatiH
24	L_ 11 / B_ {#aMSuH#} / S_ {#--svAmI#}	aMSusvAmI
25	L_ 11 / B_ {#aMSuH#} / S_ {#--pawwaM#}	aMSupawwaM
26	L_ 11 / B_ {#aMSuH#} / S_ {#--mAlA#}	aMSumAlA
27	L_ 11 / B_ {#aMSuH#} / S_ {#--mAlin#}	aMSumAlin
