Shortform	Title	Straightforwardness
A. R.	Anargharāghava	Exact
A. Rām.	Adhyatma Ramayana	Exact
Adhyātma Rām.	Adhyatma Ramayana	Straightforward Inference
Ait. Br.	Aitaroya Brāhmaņa	Exact
Ak.	Amarkosa	Exact
Amaru.	Amaruśataka	Exact
Av.	Atharava-Veda	Exact
B. R.	Balarāmāyaņa	Exact
B. and R.	Bothlingk and Roth	Exact
Bg.	Bhagavadgitā	Exact
Bh.	Bhartrihari's three satakas	Exact
Bhāg.	Bhagavata	Exact
Bhār. Ch.	Bhāratachampū	Exact
Bhāva P.	Bhāvaprakāśa	Exact
Bhāṣā P.	Bhāṣāparichchheda	Exact
Bk.	Bhaţţikāvya	Exact
Bm.	Bhāratamañjarī	Exact
Br. Sūt.	Brahmasūtrās	Exact
Brav. P.	Brahmavaivarta Purāņa	Exact
Bu. Ch.	Buddhacharitam	Exact
Bv.	Bhaminivilasa	Exact
Bīj.	Bījaganita	Exact
Bṛ. Kath.	Brihatkathā	Exact
Bṛ. S.	Varahamihira's Brihatsamhita	Exact
Bṛ. Up.	Brihadaranyakopaniṣad	Exact
Caṇḍ. K.	Chandakausika	Minor Spelling
Ch. P.	Chaurapanchāśikā	Exact
Ch. Up.	Chhandogyopaniṣad	Exact
Chand. M.	Chhandomañjarī	Exact
Chandr.	Chandraloka	Exact
Chāt.	Chātakāstaka	Exact
D. Bhāg.	Devībhāgavata	Exact
D. R.	Dasarūpa	Exact
Dāy. B.	Dayabhāga	Exact
Dk.	Dasakumāracharita	Exact
Dhanur.	Dhanurveda Samhita	Exact
Dharm.	Dharmaviveka	Exact
Dhūrt.	Dhürtasamāgama	Exact
Enm.	Ekärthanāmamālā of Saubhari	Exact
G. L.	Gangalahari	Exact
G. M.	Ganaratnamahodadhi of Vardhamāna	Exact
Gaut. S.	Gautamasūtra	Exact
Ghaṭ.	Ghatakarparakāvya	Exact
Golādh.	Golādhyāya	Exact
Gīrvaṇa	गीर्वाण लघुकोश	Exact
Gīt.	Gitagovinda	Exact
H.	Hitopadesa	Exact
H. D.	Hamsadūta	Exact
H. Pr.	हिलोपदेश-प्रस्ताविका	Exact
Halāy.	Halāyudha	Exact
Hariv.	Harivamsa	Exact
Hch.	Harsacharita	Exact
Hem.	Hemachandra	Exact
Īśop.	Isopaniṣad	Exact
K.	Kādambari	Exact
K. P.	Kāvyaprakāśa	Exact
Karpūr.	Karpüramañjarī	Exact
Kau. A.	Kauțiliya Arthasastra	Exact
Kauṣ. Br.	Kausītaki Brāhmaņa	Exact
Kauṣ. Up.	Kausītakyupanishad	Exact
Kāv.	Kāvyādarśa	Exact
Kāvyāl.	Kāvyālańkāra	Exact
Ki.	Kirātārjunīya	Exact
Ks.	Kathāsaritsāgara	Exact
Ku.	Kumārasambhava	Exact
Kull.	Kullüka	Exact
Kusum.	Kusumāñjali	Exact
Kuv.	Kuvalayananda	Exact
L. D. B.	List of Prof. Dineshchandra Bhattacharya	Exact
Lv.	Lalitavistara	Exact
Līlā.	Līlāvati	Exact
